date,DIS,isPartial
2016-08-21,66,False
2016-08-28,67,False
2016-09-04,64,False
2016-09-11,61,False
2016-09-18,69,False
2016-09-25,69,False
2016-10-02,69,False
2016-10-09,65,False
2016-10-16,70,False
2016-10-23,73,False
2016-10-30,70,False
2016-11-06,72,False
2016-11-13,72,False
2016-11-20,71,False
2016-11-27,72,False
2016-12-04,72,False
2016-12-11,73,False
2016-12-18,70,False
2016-12-25,70,False
2017-01-01,77,False
2017-01-08,74,False
2017-01-15,70,False
2017-01-22,71,False
2017-01-29,74,False
2017-02-05,74,False
2017-02-12,79,False
2017-02-19,72,False
2017-02-26,80,False
2017-03-05,74,False
2017-03-12,69,False
2017-03-19,76,False
2017-03-26,73,False
2017-04-02,69,False
2017-04-09,66,False
2017-04-16,71,False
2017-04-23,69,False
2017-04-30,74,False
2017-05-07,76,False
2017-05-14,69,False
2017-05-21,62,False
2017-05-28,70,False
2017-06-04,69,False
2017-06-11,71,False
2017-06-18,67,False
2017-06-25,65,False
2017-07-02,64,False
2017-07-09,71,False
2017-07-16,74,False
2017-07-23,65,False
2017-07-30,62,False
2017-08-06,69,False
2017-08-13,69,False
2017-08-20,64,False
2017-08-27,63,False
2017-09-03,69,False
2017-09-10,69,False
2017-09-17,69,False
2017-09-24,69,False
2017-10-01,65,False
2017-10-08,69,False
2017-10-15,70,False
2017-10-22,68,False
2017-10-29,73,False
2017-11-05,73,False
2017-11-12,70,False
2017-11-19,70,False
2017-11-26,69,False
2017-12-03,72,False
2017-12-10,72,False
2017-12-17,72,False
2017-12-24,68,False
2017-12-31,68,False
2018-01-07,69,False
2018-01-14,73,False
2018-01-21,66,False
2018-01-28,71,False
2018-02-04,72,False
2018-02-11,72,False
2018-02-18,66,False
2018-02-25,69,False
2018-03-04,75,False
2018-03-11,70,False
2018-03-18,73,False
2018-03-25,71,False
2018-04-01,69,False
2018-04-08,69,False
2018-04-15,71,False
2018-04-22,66,False
2018-04-29,67,False
2018-05-06,70,False
2018-05-13,71,False
2018-05-20,73,False
2018-05-27,73,False
2018-06-03,70,False
2018-06-10,68,False
2018-06-17,70,False
2018-06-24,66,False
2018-07-01,64,False
2018-07-08,64,False
2018-07-15,64,False
2018-07-22,68,False
2018-07-29,68,False
2018-08-05,69,False
2018-08-12,68,False
2018-08-19,64,False
2018-08-26,68,False
2018-09-02,75,False
2018-09-09,68,False
2018-09-16,67,False
2018-09-23,65,False
2018-09-30,66,False
2018-10-07,70,False
2018-10-14,68,False
2018-10-21,65,False
2018-10-28,68,False
2018-11-04,82,False
2018-11-11,71,False
2018-11-18,67,False
2018-11-25,69,False
2018-12-02,66,False
2018-12-09,67,False
2018-12-16,65,False
2018-12-23,64,False
2018-12-30,74,False
2019-01-06,72,False
2019-01-13,68,False
2019-01-20,70,False
2019-01-27,71,False
2019-02-03,71,False
2019-02-10,69,False
2019-02-17,71,False
2019-02-24,67,False
2019-03-03,70,False
2019-03-10,69,False
2019-03-17,71,False
2019-03-24,65,False
2019-03-31,68,False
2019-04-07,70,False
2019-04-14,67,False
2019-04-21,67,False
2019-04-28,78,False
2019-05-05,78,False
2019-05-12,69,False
2019-05-19,63,False
2019-05-26,65,False
2019-06-02,64,False
2019-06-09,68,False
2019-06-16,69,False
2019-06-23,68,False
2019-06-30,65,False
2019-07-07,68,False
2019-07-14,68,False
2019-07-21,73,False
2019-07-28,68,False
2019-08-04,69,False
2019-08-11,70,False
2019-08-18,71,False
2019-08-25,74,False
2019-09-01,72,False
2019-09-08,68,False
2019-09-15,72,False
2019-09-22,70,False
2019-09-29,67,False
2019-10-06,73,False
2019-10-13,71,False
2019-10-20,67,False
2019-10-27,72,False
2019-11-03,76,False
2019-11-10,87,False
2019-11-17,76,False
2019-11-24,75,False
2019-12-01,74,False
2019-12-08,76,False
2019-12-15,72,False
2019-12-22,68,False
2019-12-29,72,False
2020-01-05,72,False
2020-01-12,71,False
2020-01-19,71,False
2020-01-26,72,False
2020-02-02,83,False
2020-02-09,70,False
2020-02-16,71,False
2020-02-23,80,False
2020-03-01,80,False
2020-03-08,93,False
2020-03-15,89,False
2020-03-22,100,False
2020-03-29,87,False
2020-04-05,87,False
2020-04-12,86,False
2020-04-19,87,False
2020-04-26,85,False
2020-05-03,94,False
2020-05-10,87,False
2020-05-17,83,False
2020-05-24,86,False
2020-05-31,99,False
2020-06-07,88,False
2020-06-14,79,False
2020-06-21,81,False
2020-06-28,76,False
2020-07-05,75,False
2020-07-12,75,False
2020-07-19,77,False
2020-07-26,76,False
2020-08-02,85,False
2020-08-09,81,False
2020-08-16,74,False
2020-08-23,74,False
2020-08-30,75,False
2020-09-06,75,False
2020-09-13,79,False
2020-09-20,75,False
2020-09-27,75,False
2020-10-04,74,False
2020-10-11,76,False
2020-10-18,78,False
2020-10-25,76,False
2020-11-01,81,False
2020-11-08,83,False
2020-11-15,79,False
2020-11-22,78,False
2020-11-29,79,False
2020-12-06,82,False
2020-12-13,79,False
2020-12-20,76,False
2020-12-27,75,False
2021-01-03,76,False
2021-01-10,78,False
2021-01-17,80,False
2021-01-24,81,False
2021-01-31,77,False
2021-02-07,84,False
2021-02-14,79,False
2021-02-21,79,False
2021-02-28,78,False
2021-03-07,84,False
2021-03-14,77,False
2021-03-21,72,False
2021-03-28,69,False
2021-04-04,76,False
2021-04-11,77,False
2021-04-18,80,False
2021-04-25,76,False
2021-05-02,74,False
2021-05-09,82,False
2021-05-16,74,False
2021-05-23,74,False
2021-05-30,72,False
2021-06-06,75,False
2021-06-13,71,False
2021-06-20,69,False
2021-06-27,70,False
2021-07-04,68,False
2021-07-11,74,False
2021-07-18,67,False
2021-07-25,73,False
2021-08-01,74,False
2021-08-08,75,True
