date,NOV,isPartial
2016-08-21,7,False
2016-08-28,6,False
2016-09-04,6,False
2016-09-11,6,False
2016-09-18,8,False
2016-09-25,9,False
2016-10-02,10,False
2016-10-09,13,False
2016-10-16,14,False
2016-10-23,20,False
2016-10-30,82,False
2016-11-06,100,False
2016-11-13,94,False
2016-11-20,81,False
2016-11-27,56,False
2016-12-04,12,False
2016-12-11,8,False
2016-12-18,7,False
2016-12-25,6,False
2017-01-01,6,False
2017-01-08,8,False
2017-01-15,11,False
2017-01-22,7,False
2017-01-29,10,False
2017-02-05,5,False
2017-02-12,4,False
2017-02-19,4,False
2017-02-26,4,False
2017-03-05,4,False
2017-03-12,4,False
2017-03-19,4,False
2017-03-26,4,False
2017-04-02,4,False
2017-04-09,4,False
2017-04-16,4,False
2017-04-23,4,False
2017-04-30,4,False
2017-05-07,4,False
2017-05-14,4,False
2017-05-21,4,False
2017-05-28,4,False
2017-06-04,4,False
2017-06-11,4,False
2017-06-18,4,False
2017-06-25,4,False
2017-07-02,4,False
2017-07-09,4,False
2017-07-16,5,False
2017-07-23,4,False
2017-07-30,5,False
2017-08-06,5,False
2017-08-13,6,False
2017-08-20,6,False
2017-08-27,5,False
2017-09-03,6,False
2017-09-10,6,False
2017-09-17,7,False
2017-09-24,8,False
2017-10-01,10,False
2017-10-08,12,False
2017-10-15,14,False
2017-10-22,21,False
2017-10-29,75,False
2017-11-05,92,False
2017-11-12,82,False
2017-11-19,74,False
2017-11-26,55,False
2017-12-03,13,False
2017-12-10,9,False
2017-12-17,7,False
2017-12-24,7,False
2017-12-31,7,False
2018-01-07,8,False
2018-01-14,11,False
2018-01-21,7,False
2018-01-28,9,False
2018-02-04,5,False
2018-02-11,5,False
2018-02-18,4,False
2018-02-25,4,False
2018-03-04,4,False
2018-03-11,4,False
2018-03-18,5,False
2018-03-25,4,False
2018-04-01,4,False
2018-04-08,4,False
2018-04-15,4,False
2018-04-22,4,False
2018-04-29,4,False
2018-05-06,4,False
2018-05-13,4,False
2018-05-20,4,False
2018-05-27,5,False
2018-06-03,4,False
2018-06-10,4,False
2018-06-17,4,False
2018-06-24,4,False
2018-07-01,4,False
2018-07-08,4,False
2018-07-15,4,False
2018-07-22,5,False
2018-07-29,5,False
2018-08-05,5,False
2018-08-12,6,False
2018-08-19,6,False
2018-08-26,6,False
2018-09-02,6,False
2018-09-09,7,False
2018-09-16,7,False
2018-09-23,8,False
2018-09-30,9,False
2018-10-07,13,False
2018-10-14,13,False
2018-10-21,19,False
2018-10-28,53,False
2018-11-04,90,False
2018-11-11,84,False
2018-11-18,74,False
2018-11-25,62,False
2018-12-02,15,False
2018-12-09,8,False
2018-12-16,7,False
2018-12-23,6,False
2018-12-30,7,False
2019-01-06,9,False
2019-01-13,10,False
2019-01-20,13,False
2019-01-27,6,False
2019-02-03,10,False
2019-02-10,6,False
2019-02-17,4,False
2019-02-24,4,False
2019-03-03,4,False
2019-03-10,4,False
2019-03-17,5,False
2019-03-24,4,False
2019-03-31,4,False
2019-04-07,4,False
2019-04-14,4,False
2019-04-21,4,False
2019-04-28,4,False
2019-05-05,4,False
2019-05-12,4,False
2019-05-19,4,False
2019-05-26,4,False
2019-06-02,4,False
2019-06-09,4,False
2019-06-16,4,False
2019-06-23,4,False
2019-06-30,4,False
2019-07-07,4,False
2019-07-14,4,False
2019-07-21,4,False
2019-07-28,4,False
2019-08-04,4,False
2019-08-11,5,False
2019-08-18,6,False
2019-08-25,6,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,7,False
2019-09-22,8,False
2019-09-29,9,False
2019-10-06,10,False
2019-10-13,13,False
2019-10-20,16,False
2019-10-27,44,False
2019-11-03,85,False
2019-11-10,81,False
2019-11-17,73,False
2019-11-24,63,False
2019-12-01,19,False
2019-12-08,9,False
2019-12-15,7,False
2019-12-22,6,False
2019-12-29,7,False
2020-01-05,7,False
2020-01-12,8,False
2020-01-19,7,False
2020-01-26,7,False
2020-02-02,8,False
2020-02-09,5,False
2020-02-16,5,False
2020-02-23,4,False
2020-03-01,4,False
2020-03-08,4,False
2020-03-15,4,False
2020-03-22,4,False
2020-03-29,4,False
2020-04-05,3,False
2020-04-12,3,False
2020-04-19,4,False
2020-04-26,4,False
2020-05-03,4,False
2020-05-10,4,False
2020-05-17,3,False
2020-05-24,3,False
2020-05-31,3,False
2020-06-07,4,False
2020-06-14,3,False
2020-06-21,4,False
2020-06-28,4,False
2020-07-05,4,False
2020-07-12,4,False
2020-07-19,4,False
2020-07-26,4,False
2020-08-02,4,False
2020-08-09,5,False
2020-08-16,5,False
2020-08-23,5,False
2020-08-30,5,False
2020-09-06,5,False
2020-09-13,6,False
2020-09-20,6,False
2020-09-27,7,False
2020-10-04,8,False
2020-10-11,9,False
2020-10-18,11,False
2020-10-25,20,False
2020-11-01,65,False
2020-11-08,67,False
2020-11-15,63,False
2020-11-22,60,False
2020-11-29,29,False
2020-12-06,9,False
2020-12-13,6,False
2020-12-20,6,False
2020-12-27,6,False
2021-01-03,6,False
2021-01-10,6,False
2021-01-17,6,False
2021-01-24,6,False
2021-01-31,8,False
2021-02-07,6,False
2021-02-14,5,False
2021-02-21,4,False
2021-02-28,5,False
2021-03-07,4,False
2021-03-14,4,False
2021-03-21,4,False
2021-03-28,4,False
2021-04-04,4,False
2021-04-11,4,False
2021-04-18,4,False
2021-04-25,3,False
2021-05-02,4,False
2021-05-09,4,False
2021-05-16,4,False
2021-05-23,4,False
2021-05-30,3,False
2021-06-06,4,False
2021-06-13,4,False
2021-06-20,4,False
2021-06-27,3,False
2021-07-04,4,False
2021-07-11,4,False
2021-07-18,3,False
2021-07-25,4,False
2021-08-01,4,False
2021-08-08,4,True
