date,CAT,isPartial
2016-09-11,78,False
2016-09-18,80,False
2016-09-25,77,False
2016-10-02,78,False
2016-10-09,77,False
2016-10-16,81,False
2016-10-23,89,False
2016-10-30,86,False
2016-11-06,76,False
2016-11-13,79,False
2016-11-20,80,False
2016-11-27,78,False
2016-12-04,79,False
2016-12-11,78,False
2016-12-18,79,False
2016-12-25,80,False
2017-01-01,78,False
2017-01-08,81,False
2017-01-15,77,False
2017-01-22,77,False
2017-01-29,77,False
2017-02-05,75,False
2017-02-12,76,False
2017-02-19,81,False
2017-02-26,84,False
2017-03-05,75,False
2017-03-12,75,False
2017-03-19,73,False
2017-03-26,73,False
2017-04-02,75,False
2017-04-09,75,False
2017-04-16,71,False
2017-04-23,73,False
2017-04-30,75,False
2017-05-07,72,False
2017-05-14,74,False
2017-05-21,75,False
2017-05-28,76,False
2017-06-04,73,False
2017-06-11,74,False
2017-06-18,73,False
2017-06-25,74,False
2017-07-02,74,False
2017-07-09,75,False
2017-07-16,77,False
2017-07-23,77,False
2017-07-30,76,False
2017-08-06,78,False
2017-08-13,75,False
2017-08-20,74,False
2017-08-27,76,False
2017-09-03,80,False
2017-09-10,78,False
2017-09-17,79,False
2017-09-24,78,False
2017-10-01,79,False
2017-10-08,80,False
2017-10-15,83,False
2017-10-22,84,False
2017-10-29,86,False
2017-11-05,76,False
2017-11-12,78,False
2017-11-19,77,False
2017-11-26,79,False
2017-12-03,79,False
2017-12-10,81,False
2017-12-17,79,False
2017-12-24,82,False
2017-12-31,77,False
2018-01-07,82,False
2018-01-14,79,False
2018-01-21,77,False
2018-01-28,77,False
2018-02-04,76,False
2018-02-11,73,False
2018-02-18,78,False
2018-02-25,79,False
2018-03-04,76,False
2018-03-11,74,False
2018-03-18,75,False
2018-03-25,74,False
2018-04-01,75,False
2018-04-08,78,False
2018-04-15,74,False
2018-04-22,74,False
2018-04-29,75,False
2018-05-06,71,False
2018-05-13,72,False
2018-05-20,77,False
2018-05-27,78,False
2018-06-03,76,False
2018-06-10,74,False
2018-06-17,70,False
2018-06-24,69,False
2018-07-01,71,False
2018-07-08,76,False
2018-07-15,76,False
2018-07-22,78,False
2018-07-29,75,False
2018-08-05,80,False
2018-08-12,78,False
2018-08-19,77,False
2018-08-26,76,False
2018-09-02,74,False
2018-09-09,77,False
2018-09-16,79,False
2018-09-23,76,False
2018-09-30,80,False
2018-10-07,80,False
2018-10-14,83,False
2018-10-21,88,False
2018-10-28,90,False
2018-11-04,82,False
2018-11-11,81,False
2018-11-18,79,False
2018-11-25,83,False
2018-12-02,82,False
2018-12-09,81,False
2018-12-16,79,False
2018-12-23,80,False
2018-12-30,80,False
2019-01-06,78,False
2019-01-13,78,False
2019-01-20,76,False
2019-01-27,78,False
2019-02-03,77,False
2019-02-10,77,False
2019-02-17,79,False
2019-02-24,81,False
2019-03-03,77,False
2019-03-10,73,False
2019-03-17,82,False
2019-03-24,75,False
2019-03-31,75,False
2019-04-07,72,False
2019-04-14,74,False
2019-04-21,74,False
2019-04-28,77,False
2019-05-05,74,False
2019-05-12,92,False
2019-05-19,80,False
2019-05-26,81,False
2019-06-02,75,False
2019-06-09,75,False
2019-06-16,77,False
2019-06-23,75,False
2019-06-30,77,False
2019-07-07,75,False
2019-07-14,78,False
2019-07-21,77,False
2019-07-28,76,False
2019-08-04,83,False
2019-08-11,82,False
2019-08-18,81,False
2019-08-25,78,False
2019-09-01,78,False
2019-09-08,79,False
2019-09-15,80,False
2019-09-22,77,False
2019-09-29,82,False
2019-10-06,80,False
2019-10-13,81,False
2019-10-20,84,False
2019-10-27,93,False
2019-11-03,90,False
2019-11-10,94,False
2019-11-17,90,False
2019-11-24,86,False
2019-12-01,87,False
2019-12-08,83,False
2019-12-15,85,False
2019-12-22,88,False
2019-12-29,85,False
2020-01-05,81,False
2020-01-12,84,False
2020-01-19,82,False
2020-01-26,81,False
2020-02-02,80,False
2020-02-09,81,False
2020-02-16,86,False
2020-02-23,84,False
2020-03-01,83,False
2020-03-08,78,False
2020-03-15,75,False
2020-03-22,86,False
2020-03-29,95,False
2020-04-05,97,False
2020-04-12,93,False
2020-04-19,90,False
2020-04-26,92,False
2020-05-03,94,False
2020-05-10,97,False
2020-05-17,99,False
2020-05-24,100,False
2020-05-31,91,False
2020-06-07,90,False
2020-06-14,90,False
2020-06-21,92,False
2020-06-28,90,False
2020-07-05,88,False
2020-07-12,90,False
2020-07-19,92,False
2020-07-26,94,False
2020-08-02,89,False
2020-08-09,92,False
2020-08-16,92,False
2020-08-23,91,False
2020-08-30,91,False
2020-09-06,89,False
2020-09-13,90,False
2020-09-20,88,False
2020-09-27,88,False
2020-10-04,86,False
2020-10-11,87,False
2020-10-18,84,False
2020-10-25,93,False
2020-11-01,78,False
2020-11-08,84,False
2020-11-15,86,False
2020-11-22,90,False
2020-11-29,88,False
2020-12-06,86,False
2020-12-13,85,False
2020-12-20,88,False
2020-12-27,89,False
2021-01-03,89,False
2021-01-10,88,False
2021-01-17,88,False
2021-01-24,90,False
2021-01-31,88,False
2021-02-07,96,False
2021-02-14,91,False
2021-02-21,88,False
2021-02-28,88,False
2021-03-07,85,False
2021-03-14,88,False
2021-03-21,83,False
2021-03-28,87,False
2021-04-04,87,False
2021-04-11,89,False
2021-04-18,89,False
2021-04-25,88,False
2021-05-02,88,False
2021-05-09,89,False
2021-05-16,85,False
2021-05-23,86,False
2021-05-30,84,False
2021-06-06,88,False
2021-06-13,85,False
2021-06-20,86,False
2021-06-27,88,False
2021-07-04,90,False
2021-07-11,89,False
2021-07-18,91,False
2021-07-25,91,False
2021-08-01,89,False
2021-08-08,95,False
2021-08-15,98,False
2021-08-22,93,False
2021-08-29,88,True
